Protein IDs;Majority protein IDs;Peptide counts (all);Peptide counts (razor+unique);Peptide counts (unique);Protein names;Gene names;Fasta headers;Number of proteins;Peptides;Razor + unique peptides;Unique peptides;Peptides AA3672;Peptides AA3710;Peptides AA3715;Peptides AA3864;Peptides AAA00J;Peptides AAA00N;Peptides AAA010;Peptides AAA01R;Peptides AAA022;Peptides AGA002;Peptides AGA02N;Razor + unique peptides AA3672;Razor + unique peptides AA3710;Razor + unique peptides AA3715;Razor + unique peptides AA3864;Razor + unique peptides AAA00J;Razor + unique peptides AAA00N;Razor + unique peptides AAA010;Razor + unique peptides AAA01R;Razor + unique peptides AAA022;Razor + unique peptides AGA002;Razor + unique peptides AGA02N;Unique peptides AA3672;Unique peptides AA3710;Unique peptides AA3715;Unique peptides AA3864;Unique peptides AAA00J;Unique peptides AAA00N;Unique peptides AAA010;Unique peptides AAA01R;Unique peptides AAA022;Unique peptides AGA002;Unique peptides AGA02N;Sequence coverage [%];Unique + razor sequence coverage [%];Unique sequence coverage [%];Mol. weight [kDa];Sequence length;Sequence lengths;Fraction average;Fraction 1;Q-value;Score;Sequence coverage AA3672 [%];Sequence coverage AA3710 [%];Sequence coverage AA3715 [%];Sequence coverage AA3864 [%];Sequence coverage AAA00J [%];Sequence coverage AAA00N [%];Sequence coverage AAA010 [%];Sequence coverage AAA01R [%];Sequence coverage AAA022 [%];Sequence coverage AGA002 [%];Sequence coverage AGA02N [%];Intensity;Intensity AA3672;Intensity AA3710;Intensity AA3715;Intensity AA3864;Intensity AAA00J;Intensity AAA00N;Intensity AAA010;Intensity AAA01R;Intensity AAA022;Intensity AGA002;Intensity AGA02N
P38571;P38571;5;5;5;Lysosomal acid lipase/cholesteryl ester hydrolase;LIPA;>sp|P38571|LICH_HUMAN Lysosomal acid lipase/cholesteryl ester hydrolase OS=Homo sapiens GN=LIPA PE=1 SV=2;1;5;5;5;0;2;0;2;1;2;2;2;5;0;2;0;2;0;2;1;2;2;2;5;0;2;0;2;0;2;1;2;2;2;5;0;2;19.8;19.8;19.8;45418;399;399;1;22;0;12746;0;6.8;0;9;4;6.8;6.8;6.8;19.8;0;6.8;27570000;0;2436900;0;4180900;268680;745950;1584000;10191000;5712300;0;2450200
P38606;P38606;31;31;31;V-type proton ATPase catalytic subunit A;ATP6V1A;>sp|P38606|VATA_HUMAN V-type proton ATPase catalytic subunit A OS=Homo sapiens GN=ATP6V1A PE=1 SV=2;1;31;31;31;20;18;4;12;13;13;11;18;19;13;10;20;18;4;12;13;13;11;18;19;13;10;20;18;4;12;13;13;11;18;19;13;10;56.6;56.6;56.6;68303;617;617;1;209;0;250.46;45.2;38.7;9.4;27.1;26.3;29.2;24.6;36.1;41;28.5;19.3;294640000;38499000;46635000;3728300;37462000;10067000;18891000;13752000;67692000;16340000;20509000;21064000
P38646;P38646;43;42;42;Stress-70 protein, mitochondrial;HSPA9;>sp|P38646|GRP75_HUMAN Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2;1;43;42;42;25;33;14;25;27;27;21;28;24;22;27;25;33;14;24;27;27;21;28;24;21;26;25;33;14;24;27;27;21;28;24;21;26;60.7;60.7;60.7;73.68;679;679;1;665;0;323.31;47.3;56;29;46.7;49.2;51.1;39.6;45.8;44.6;39.8;43.4;2960100000;242890000;483960000;35421000;449040000;158280000;109760000;119650000;398590000;168830000;366960000;426740000
P38919;P38919;23;19;19;"Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-III, N-terminally processed";EIF4A3;>sp|P38919|IF4A3_HUMAN Eukaryotic initiation factor 4A-III OS=Homo sapiens GN=EIF4A3 PE=1 SV=4;1;23;19;19;16;16;3;16;15;9;9;16;13;11;13;13;12;2;12;12;8;7;12;11;9;10;13;12;2;12;12;8;7;12;11;9;10;56.7;50.6;50.6;46871;411;411;1;156;0;141.28;41.6;32.4;10;36.3;30.7;24.1;26;37;39.4;28;27.7;215670000;39419000;20184000;455840;40935000;10363000;2921500;7499500;34895000;13645000;21153000;24199000
P39019;P39019;14;14;14;40S ribosomal protein S19;RPS19;>sp|P39019|RS19_HUMAN 40S ribosomal protein S19 OS=Homo sapiens GN=RPS19 PE=1 SV=2;1;14;14;14;10;11;8;12;10;11;9;12;8;10;11;10;11;8;12;10;11;9;12;8;10;11;10;11;8;12;10;11;9;12;8;10;11;62.1;62.1;62.1;16.06;145;145;1;249;0;78;43.4;50.3;41.4;57.2;43.4;47.6;42.1;51;35.9;43.4;50.3;935210000;55428000;181460000;17021000;169810000;46435000;37877000;41911000;143610000;28016000;72930000;140720000
"P39023;Q92901";P39023;"25;3";"25;3";"25;3";60S ribosomal protein L3;RPL3;>sp|P39023|RL3_HUMAN 60S ribosomal protein L3 OS=Homo sapiens GN=RPL3 PE=1 SV=2;2;25;25;25;15;19;7;17;12;15;15;17;11;11;14;15;19;7;17;12;15;15;17;11;11;14;15;19;7;17;12;15;15;17;11;11;14;48.1;48.1;48.1;46108;403;"403;407";1;333;0;77505;35.5;36;17.4;39.2;28.5;35;39;40;29;30;30.5;1020300000;99519000;188460000;7630800;258680000;30747000;23122000;43397000;138670000;41876000;94803000;93374000
P39059;P39059;13;13;13;"Collagen alpha-1(XV) chain;Restin;Restin-2;Restin-3;Restin-4";COL15A1;>sp|P39059|COFA1_HUMAN Collagen alpha-1(XV) chain OS=Homo sapiens GN=COL15A1 PE=1 SV=2;1;13;13;13;1;9;4;4;8;10;9;5;1;1;0;1;9;4;4;8;10;9;5;1;1;0;1;9;4;4;8;10;9;5;1;1;0;10.9;10.9;10.9;141.72;1388;1388;1;65;0;76652;1.2;7.1;3.2;4;6.8;8.5;8;4.5;1.1;0.6;0;49454000;1037100;10401000;929510;8134400;2749700;11338000;8575300;5591700;149370;548670;0
P39060;P39060;13;13;13;"Collagen alpha-1(XVIII) chain;Endostatin";COL18A1;>sp|P39060|COIA1_HUMAN Collagen alpha-1(XVIII) chain OS=Homo sapiens GN=COL18A1 PE=1 SV=5;1;13;13;13;6;11;7;7;4;12;10;5;5;7;3;6;11;7;7;4;12;10;5;5;7;3;6;11;7;7;4;12;10;5;5;7;3;11;11;11;178.19;1754;1754;1;103;0;88636;6.3;7.5;5.2;6.9;3.5;11;8.2;4;5.7;6.9;2.9;232290000;11941000;53234000;6402300;44243000;2254900;31775000;39735000;11353000;3432800;24716000;3206700
P39656;P39656;15;15;15;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit;DDOST;>sp|P39656|OST48_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens GN=DDOST PE=1 SV=4;1;15;15;15;11;13;6;12;11;10;14;11;13;9;10;11;13;6;12;11;10;14;11;13;9;10;11;13;6;12;11;10;14;11;13;9;10;48.9;48.9;48.9;50.8;456;456;1;193;0;156.04;26.5;34.6;12.9;36.6;26.5;28.3;39.9;25;42.1;21.3;27.6;710600000;66928000;95496000;8550200;196820000;23112000;22558000;36375000;103780000;32493000;61455000;63024000
P39687;P39687;16;16;8;Acidic leucine-rich nuclear phosphoprotein 32 family member A;ANP32A;>sp|P39687|AN32A_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens GN=ANP32A PE=1 SV=1;1;16;16;8;7;9;6;9;8;10;6;10;9;8;10;7;9;6;9;8;10;6;10;9;8;10;3;4;2;3;3;7;2;3;2;3;3;40.6;40.6;27.7;28585;249;249;1;172;0;133.58;26.1;31.7;25.7;28.9;26.1;32.5;24.1;28.9;25.7;28.9;28.9;553550000;54627000;81265000;6789200;113110000;22516000;18934000;11859000;100530000;18987000;88637000;36300000
P39748;P39748;12;12;11;Flap endonuclease 1;FEN1;>sp|P39748|FEN1_HUMAN Flap endonuclease 1 OS=Homo sapiens GN=FEN1 PE=1 SV=1;1;12;12;11;6;9;2;8;4;4;2;7;3;6;6;6;9;2;8;4;4;2;7;3;6;6;6;9;2;7;4;4;2;7;3;6;6;37.9;37.9;36.1;42592;380;380;1;79;0;84344;25.8;28.4;8.2;25.5;14.7;16.1;5.8;23.7;12.6;21.8;19.5;153300000;17380000;21088000;451520;34923000;1121200;1997400;1717300;26495000;3606000;22172000;22343000
P39900;P39900;9;9;9;Macrophage metalloelastase;MMP12;>sp|P39900|MMP12_HUMAN Macrophage metalloelastase OS=Homo sapiens GN=MMP12 PE=1 SV=1;1;9;9;9;3;0;0;0;5;2;0;5;2;0;0;3;0;0;0;5;2;0;5;2;0;0;3;0;0;0;5;2;0;5;2;0;0;23.6;23.6;23.6;54001;470;470;1;20;0;17389;10;0;0;0;9.8;4.7;0;11.9;4.3;0;0;9810400;1670800;0;0;0;3333300;595260;0;4040700;170260;0;0
"P40121;REV__P40121";P40121;"17;1";"17;1";"17;1";Macrophage-capping protein;CAPG;>sp|P40121|CAPG_HUMAN Macrophage-capping protein OS=Homo sapiens GN=CAPG PE=1 SV=2;2;17;17;17;10;12;9;11;9;12;11;14;11;10;11;10;12;9;11;9;12;11;14;11;10;11;10;12;9;11;9;12;11;14;11;10;11;56.9;56.9;56.9;38498;348;"348;348";1;297;0;237.99;38.2;41.4;41.1;47.4;29.6;33;51.1;54.9;51.7;38.2;40.2;940510000;48283000;170710000;22212000;70120000;18826000;63050000;37547000;287640000;64885000;62486000;94750000
P40199;P40199;4;3;3;Carcinoembryonic antigen-related cell adhesion molecule 6;CEACAM6;>sp|P40199|CEAM6_HUMAN Carcinoembryonic antigen-related cell adhesion molecule 6 OS=Homo sapiens GN=CEACAM6 PE=1 SV=3;1;4;3;3;1;0;0;0;2;4;0;3;2;1;1;1;0;0;0;1;3;0;2;1;1;1;1;0;0;0;1;3;0;2;1;1;1;21.5;17.4;17.4;37194;344;344;1;17;0;64548;6.1;0;0;0;10.2;21.5;0;14;10.2;6.1;6.1;28663000;553500;0;0;0;741090;13689000;0;7153700;4088600;2094300;342230
P40222;P40222;11;11;11;Alpha-taxilin;TXLNA;>sp|P40222|TXLNA_HUMAN Alpha-taxilin OS=Homo sapiens GN=TXLNA PE=1 SV=3;1;11;11;11;3;5;1;2;1;1;0;3;3;7;2;3;5;1;2;1;1;0;3;3;7;2;3;5;1;2;1;1;0;3;3;7;2;32.2;32.2;32.2;61.89;546;546;1;32;0;47776;7.1;13.2;1.8;8.2;1.8;6.6;0;6;7.1;23.1;9.2;22097000;1267300;2160600;3498700;2083500;67405;167520;0;957100;413530;9160300;2320800
"P40227;Q92526";P40227;"31;4";"31;4";"31;4";T-complex protein 1 subunit zeta;CCT6A;>sp|P40227|TCPZ_HUMAN T-complex protein 1 subunit zeta OS=Homo sapiens GN=CCT6A PE=1 SV=3;2;31;31;31;22;23;14;24;19;21;20;21;18;17;13;22;23;14;24;19;21;20;21;18;17;13;22;23;14;24;19;21;20;21;18;17;13;59.9;59.9;59.9;58024;531;"531;530";1;365;0;236.04;48.4;47.5;33.1;52.7;42.7;44.8;47.8;49.9;43.1;43.5;30.7;1088700000;130130000;130870000;14914000;315700000;28875000;45901000;35042000;157370000;26429000;127560000;75893000
P40261;P40261;11;11;11;Nicotinamide N-methyltransferase;NNMT;>sp|P40261|NNMT_HUMAN Nicotinamide N-methyltransferase OS=Homo sapiens GN=NNMT PE=1 SV=1;1;11;11;11;4;6;4;6;3;9;5;4;7;4;0;4;6;4;6;3;9;5;4;7;4;0;4;6;4;6;3;9;5;4;7;4;0;42;42;42;29574;264;264;1;71;0;216.61;21.6;32.6;18.6;32.2;13.3;34.8;28.4;22.3;35.2;22;0;67227000;2636700;5543600;4624800;9569200;2196000;22335000;1843500;7456300;3022700;7999300;0
P40306;P40306;8;8;8;Proteasome subunit beta type-10;PSMB10;>sp|P40306|PSB10_HUMAN Proteasome subunit beta type-10 OS=Homo sapiens GN=PSMB10 PE=1 SV=1;1;8;8;8;3;3;1;3;1;1;3;4;4;2;2;3;3;1;3;1;1;3;4;4;2;2;3;3;1;3;1;1;3;4;4;2;2;40.3;40.3;40.3;28936;273;273;1;43;0;170.77;17.6;12.1;7.3;21.6;7.3;7.3;16.1;19.8;26.7;11.4;11;111530000;29266000;11457000;200620;15161000;628460;857980;2762100;10830000;13494000;20131000;6743000
"P40429;Q6NVV1";P40429;"11;4";"11;4";"11;4";60S ribosomal protein L13a;RPL13A;>sp|P40429|RL13A_HUMAN 60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2;2;11;11;11;10;11;5;8;9;8;9;9;9;8;9;10;11;5;8;9;8;9;9;9;8;9;10;11;5;8;9;8;9;9;9;8;9;42.4;42.4;42.4;23577;203;"203;102";1;179;0;42578;38.9;42.4;25.1;38.4;38.4;38.9;41.9;37.9;35.5;34;35;682960000;52768000;148590000;7356900;102970000;29480000;15963000;33030000;86614000;17612000;69122000;119450000
P40616;P40616;7;7;7;ADP-ribosylation factor-like protein 1;ARL1;>sp|P40616|ARL1_HUMAN ADP-ribosylation factor-like protein 1 OS=Homo sapiens GN=ARL1 PE=1 SV=1;1;7;7;7;3;4;1;4;2;1;4;2;5;1;2;3;4;1;4;2;1;4;2;5;1;2;3;4;1;4;2;1;4;2;5;1;2;48.1;48.1;48.1;20417;181;181;1;35;0;25.37;20.4;29.8;5;22.1;11;6.1;29.3;11;29.3;6.1;11;35568000;2464800;3461500;222180;12151000;288770;205670;3834100;2823900;6203600;2062100;1850400
P40763;P40763;26;26;26;Signal transducer and activator of transcription 3;STAT3;>sp|P40763|STAT3_HUMAN Signal transducer and activator of transcription 3 OS=Homo sapiens GN=STAT3 PE=1 SV=2;1;26;26;26;13;16;4;14;12;8;12;16;15;8;10;13;16;4;14;12;8;12;16;15;8;10;13;16;4;14;12;8;12;16;15;8;10;46.8;46.8;46.8;88067;770;770;1;194;0;323.31;25.2;29.6;7;28.7;21.2;15.3;23.8;29.4;30.1;16;16.8;239350000;26607000;34966000;1964400;44261000;10519000;6983800;13031000;31163000;13174000;24119000;32562000
P40818;P40818;2;2;2;Ubiquitin carboxyl-terminal hydrolase 8;USP8;>sp|P40818|UBP8_HUMAN Ubiquitin carboxyl-terminal hydrolase 8 OS=Homo sapiens GN=USP8 PE=1 SV=1;1;2;2;2;0;0;0;0;1;0;2;2;2;1;1;0;0;0;0;1;0;2;2;2;1;1;0;0;0;0;1;0;2;2;2;1;1;2.4;2.4;2.4;127.52;1118;1118;1;9;0.00022178;5.0205;0;0;0;0;1.5;0;2.4;2.4;2.4;0.9;1.5;3860700;0;0;0;0;137250;0;446350;1114500;449870;753250;959420
P40879;P40879;3;3;3;Chloride anion exchanger;SLC26A3;>sp|P40879|S26A3_HUMAN Chloride anion exchanger OS=Homo sapiens GN=SLC26A3 PE=1 SV=1;1;3;3;3;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;3.8;3.8;3.8;84504;764;764;1;5;0.0035277;2.3863;0;2.7;0;0;0;0;2.2;0;0;0;0;869080;0;490290;0;0;0;0;378790;0;0;0;0
P40925;P40925;17;17;17;Malate dehydrogenase, cytoplasmic;MDH1;>sp|P40925|MDHC_HUMAN Malate dehydrogenase, cytoplasmic OS=Homo sapiens GN=MDH1 PE=1 SV=4;1;17;17;17;11;14;8;11;13;13;13;13;9;9;12;11;14;8;11;13;13;13;13;9;9;12;11;14;8;11;13;13;13;13;9;9;12;50.3;50.3;50.3;36426;334;334;1;255;0;173.29;39.8;44.9;31.4;41.9;45.2;41.9;44.6;44.9;34.7;29.9;41.9;946290000;102560000;107450000;16964000;146700000;63801000;49229000;75393000;128960000;19693000;183300000;52244000
P40926;P40926;23;23;23;Malate dehydrogenase, mitochondrial;MDH2;>sp|P40926|MDHM_HUMAN Malate dehydrogenase, mitochondrial OS=Homo sapiens GN=MDH2 PE=1 SV=3;1;23;23;23;16;18;16;16;19;21;17;17;16;18;15;16;18;16;16;19;21;17;17;16;18;15;16;18;16;16;19;21;17;17;16;18;15;68.3;68.3;68.3;35503;338;338;1;659;0;323.31;61.5;63.6;58.9;59.5;65.4;68.3;63.6;61.8;59.5;63.9;59.2;3687600000;237540000;292430000;83428000;664810000;260100000;229000000;383080000;387360000;258850000;576350000;314640000
P40937;P40937;7;7;7;Replication factor C subunit 5;RFC5;>sp|P40937|RFC5_HUMAN Replication factor C subunit 5 OS=Homo sapiens GN=RFC5 PE=1 SV=1;1;7;7;7;2;4;2;3;1;1;1;4;1;0;1;2;4;2;3;1;1;1;4;1;0;1;2;4;2;3;1;1;1;4;1;0;1;28.2;28.2;28.2;38496;340;340;1;21;0;47686;8.5;13.5;7.1;13.2;3.5;4.1;2.9;14.7;4.4;0;2.9;11240000;686810;1516300;103460;5342800;24102;90836;101250;3122100;106900;0;145030
P40938;P40938;6;6;6;Replication factor C subunit 3;RFC3;>sp|P40938|RFC3_HUMAN Replication factor C subunit 3 OS=Homo sapiens GN=RFC3 PE=1 SV=2;1;6;6;6;1;3;1;3;2;1;1;5;2;1;2;1;3;1;3;2;1;1;5;2;1;2;1;3;1;3;2;1;1;5;2;1;2;21.9;21.9;21.9;40556;356;356;1;23;0;68098;3.9;11.2;5.3;14.9;8.7;5.3;5.1;18;11;3.9;7.9;27732000;218060;3525100;157150;8598600;221640;616910;716740;10550000;1009200;545840;1573200
P40939;P40939;41;41;41;"Trifunctional enzyme subunit alpha, mitochondrial;Long-chain enoyl-CoA hydratase;Long chain 3-hydroxyacyl-CoA dehydrogenase";HADHA;>sp|P40939|ECHA_HUMAN Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens GN=HADHA PE=1 SV=2;1;41;41;41;29;31;19;30;24;26;30;26;29;21;23;29;31;19;30;24;26;30;26;29;21;23;29;31;19;30;24;26;30;26;29;21;23;64.2;64.2;64.2;82999;763;763;1;563;0;323.31;54.8;54;33.7;55.4;42.3;48.2;51;46.9;51.1;38.9;41.3;1166300000;134050000;147640000;9020000;193610000;39779000;58118000;124990000;124110000;122610000;116530000;95842000
"P41091;Q2VIR3";"P41091;Q2VIR3";"21;17";"21;17";"21;17";"Eukaryotic translation initiation factor 2 subunit 3;Putative eukaryotic translation initiation factor 2 subunit 3-like protein";"EIF2S3;EIF2S3L";">sp|P41091|IF2G_HUMAN Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens GN=EIF2S3 PE=1 SV=3;>sp|Q2VIR3|IF2GL_HUMAN Putative eukaryotic translation initiation factor 2 subunit 3-like protein OS=Homo sapiens GN=EIF2S3L PE=5 SV=2";2;21;21;21;15;14;5;15;11;8;9;15;11;10;10;15;14;5;15;11;8;9;15;11;10;10;15;14;5;15;11;8;9;15;11;10;10;53.4;53.4;53.4;51109;472;"472;472";1;173;0;129.17;41.3;39.6;15.9;41.5;31.1;26.7;26.3;41.9;31.6;30.3;28.6;470980000;58072000;70852000;2396300;138420000;13530000;14062000;15695000;63297000;13460000;62479000;18713000
P41208;P41208;2;2;2;Centrin-2;CETN2;>sp|P41208|CETN2_HUMAN Centrin-2 OS=Homo sapiens GN=CETN2 PE=1 SV=1;1;2;2;2;1;1;0;0;1;0;0;1;2;1;0;1;1;0;0;1;0;0;1;2;1;0;1;1;0;0;1;0;0;1;2;1;0;17.4;17.4;17.4;19738;172;172;1;7;0;19824;7.6;9.9;0;0;9.9;0;0;9.9;17.4;7.6;0;3276700;355570;231620;0;0;84194;0;0;319900;1957100;328330;0
P41212;P41212;2;2;2;Transcription factor ETV6;ETV6;>sp|P41212|ETV6_HUMAN Transcription factor ETV6 OS=Homo sapiens GN=ETV6 PE=1 SV=1;1;2;2;2;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;1;0;0;2;1;0;0;5.3;5.3;5.3;52999;452;452;1;5;0.0048984;2.0806;0;0;0;0;1.5;0;0;5.3;3.8;0;0;719200;0;0;0;0;28069;0;0;537960;153170;0;0
P41214;P41214;3;3;3;Eukaryotic translation initiation factor 2D;EIF2D;>sp|P41214|EIF2D_HUMAN Eukaryotic translation initiation factor 2D OS=Homo sapiens GN=EIF2D PE=1 SV=3;1;3;3;3;0;1;0;1;1;0;0;1;1;1;1;0;1;0;1;1;0;0;1;1;1;1;0;1;0;1;1;0;0;1;1;1;1;8.6;8.6;8.6;64706;584;584;1;7;0.00021744;4.5914;0;1.5;0;1.5;2.1;0;0;1.5;1.5;5;1.5;3544000;0;269840;0;698860;38845;0;0;463870;116690;1955900;0
P41218;P41218;21;21;21;Myeloid cell nuclear differentiation antigen;MNDA;>sp|P41218|MNDA_HUMAN Myeloid cell nuclear differentiation antigen OS=Homo sapiens GN=MNDA PE=1 SV=1;1;21;21;21;11;15;3;4;7;16;6;14;7;5;4;11;15;3;4;7;16;6;14;7;5;4;11;15;3;4;7;16;6;14;7;5;4;48.6;48.6;48.6;45836;407;407;1;135;0;216.41;31.2;39.3;7.1;12.3;17.4;41.3;16.7;34.6;18.9;15;10.6;198460000;23224000;59759000;985210;7193000;6304600;27571000;2927000;48336000;4605700;13913000;3639600
P41219;P41219;17;11;11;Peripherin;PRPH;>sp|P41219|PERI_HUMAN Peripherin OS=Homo sapiens GN=PRPH PE=1 SV=2;1;17;11;11;4;14;4;4;7;6;9;7;6;4;4;0;9;0;0;3;0;6;2;3;0;0;0;9;0;0;3;0;6;2;3;0;0;33.8;27;27;53.65;470;470;1;24;0;29254;6.4;27.2;6.4;6.4;13.2;6.8;19.6;11.1;15.3;6.4;6.4;17065000;0;10532000;0;0;377160;0;4019400;1681400;455210;0;0
"P41221;Q9H1J7";P41221;"3;1";"3;1";"3;1";Protein Wnt-5a;WNT5A;>sp|P41221|WNT5A_HUMAN Protein Wnt-5a OS=Homo sapiens GN=WNT5A PE=1 SV=2;2;3;3;3;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;8.4;8.4;8.4;42339;380;"380;359";1;3;0;5.6193;0;0;0;0;0;5.5;0;0;2.9;0;0;498550;0;0;0;0;0;486850;0;0;11692;0;0
P41222;P41222;1;1;1;Prostaglandin-H2 D-isomerase;PTGDS;>sp|P41222|PTGDS_HUMAN Prostaglandin-H2 D-isomerase OS=Homo sapiens GN=PTGDS PE=1 SV=1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;8.4;8.4;8.4;21029;190;190;1;1;0.0015516;2.9704;0;0;0;0;0;8.4;0;0;0;0;0;154590;0;0;0;0;0;154590;0;0;0;0;0
P41223;P41223;5;5;5;Protein BUD31 homolog;BUD31;>sp|P41223|BUD31_HUMAN Protein BUD31 homolog OS=Homo sapiens GN=BUD31 PE=1 SV=2;1;5;5;5;1;4;0;4;1;1;0;3;0;1;2;1;4;0;4;1;1;0;3;0;1;2;1;4;0;4;1;1;0;3;0;1;2;38.9;38.9;38.9;17;144;144;1;18;0;6.7975;13.9;33.3;0;31.9;5.6;6.9;0;18.1;0;13.9;19.4;15071000;0;2391400;0;5919700;255070;53531;0;2187000;0;1494300;2770400
P41226;P41226;11;11;11;Ubiquitin-like modifier-activating enzyme 7;UBA7;>sp|P41226|UBA7_HUMAN Ubiquitin-like modifier-activating enzyme 7 OS=Homo sapiens GN=UBA7 PE=1 SV=2;1;11;11;11;1;3;4;2;8;3;4;8;4;3;2;1;3;4;2;8;3;4;8;4;3;2;1;3;4;2;8;3;4;8;4;3;2;15.2;15.2;15.2;111.69;1012;1012;1;44;0;38974;1.5;4.2;5.6;2.6;10.7;4.2;5.6;11.5;5.6;4.6;2.9;20889000;646560;2614800;698590;1353200;1764500;585250;1802300;4884400;974160;4773800;790900
"P41227;Q9BSU3";P41227;"7;2";"7;2";"7;2";N-alpha-acetyltransferase 10;NAA10;>sp|P41227|NAA10_HUMAN N-alpha-acetyltransferase 10 OS=Homo sapiens GN=NAA10 PE=1 SV=1;2;7;7;7;2;3;0;3;0;0;0;1;1;0;0;2;3;0;3;0;0;0;1;1;0;0;2;3;0;3;0;0;0;1;1;0;0;38.3;38.3;38.3;26458;235;"235;229";1;10;0;11467;6;22.1;0;14.5;0;0;0;8.5;4.3;0;0;4200600;375850;1685900;0;1237300;0;0;0;779650;121830;0;0
P41235;P41235;4;4;1;Hepatocyte nuclear factor 4-alpha;HNF4A;>sp|P41235|HNF4A_HUMAN Hepatocyte nuclear factor 4-alpha OS=Homo sapiens GN=HNF4A PE=1 SV=3;1;4;4;1;0;1;0;0;0;0;1;0;2;0;2;0;1;0;0;0;0;1;0;2;0;2;0;0;0;0;0;0;0;0;0;0;1;11.6;11.6;2.7;52784;474;474;1;7;0;8.4823;0;2.3;0;0;0;0;2.7;0;6.5;0;5.5;1511600;0;9592.9;0;0;0;0;265030;0;876940;0;360000
"Q6NXS1;P41236";"Q6NXS1;P41236";"3;3";"3;3";"3;3";"Protein phosphatase inhibitor 2-like protein 3;Protein phosphatase inhibitor 2";"PPP1R2P3;PPP1R2";">sp|Q6NXS1|IPP2M_HUMAN Protein phosphatase inhibitor 2-like protein 3 OS=Homo sapiens GN=PPP1R2P3 PE=1 SV=1;>sp|P41236|IPP2_HUMAN Protein phosphatase inhibitor 2 OS=Homo sapiens GN=PPP1R2 PE=1 SV=2";2;3;3;3;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;18;18;18;23048;205;"205;205";1;3;0;6.2659;7.3;0;0;0;0;0;0;5.4;5.4;0;0;520900;95385;0;0;0;0;0;0;331060;94448;0;0
"P41240;P42679";P41240;"17;1";"17;1";"16;1";Tyrosine-protein kinase CSK;CSK;>sp|P41240|CSK_HUMAN Tyrosine-protein kinase CSK OS=Homo sapiens GN=CSK PE=1 SV=1;2;17;17;16;4;9;3;7;2;3;3;8;4;2;1;4;9;3;7;2;3;3;8;4;2;1;4;9;3;7;2;3;3;8;3;2;1;45.1;45.1;43.3;50704;450;"450;507";1;47;0;33339;10.4;25.1;6.7;18;4.2;8.9;8.2;19.6;9.6;5.3;2;47022000;2010900;12627000;1296600;6569100;687940;2835300;1052500;14003000;488240;4575600;875860
P41250;P41250;26;26;26;Glycine--tRNA ligase;GARS;>sp|P41250|SYG_HUMAN Glycine--tRNA ligase OS=Homo sapiens GN=GARS PE=1 SV=3;1;26;26;26;10;16;7;19;10;11;11;12;11;13;8;10;16;7;19;10;11;11;12;11;13;8;10;16;7;19;10;11;11;12;11;13;8;42.6;42.6;42.6;83165;739;739;1;184;0;107.88;17.3;27.7;9.9;35;15.8;18.9;21.4;18.7;20.7;24.6;11;405360000;23900000;35570000;3265600;161350000;9710700;16447000;15242000;34901000;11305000;67539000;26133000
P41252;P41252;46;46;46;Isoleucine--tRNA ligase, cytoplasmic;IARS;>sp|P41252|SYIC_HUMAN Isoleucine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=IARS PE=1 SV=2;1;46;46;46;18;32;5;36;21;16;18;28;24;18;18;18;32;5;36;21;16;18;28;24;18;18;18;32;5;36;21;16;18;28;24;18;18;45.9;45.9;45.9;144.5;1262;1262;1;302;0;323.31;18.7;31.5;4;36.8;19.2;16;17.8;26.8;24.3;16.7;17;425100000;21845000;59069000;1772800;159660000;9550500;11281000;12350000;62265000;19103000;45136000;23068000
P41439;P41439;2;2;2;Folate receptor gamma;FOLR3;>sp|P41439|FOLR3_HUMAN Folate receptor gamma OS=Homo sapiens GN=FOLR3 PE=1 SV=1;1;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;12.3;12.3;12.3;27638;243;243;1;3;0;5.8521;0;0;0;0;0;12.3;0;0;0;0;0;455620;0;0;0;0;0;455620;0;0;0;0;0
